coordinate,x,y,overall-no-arctic,arctic
0.505,0.339771,0.293982,0.249222,0.000000
0.506,0.339771,0.293982,0.249222,0.000000
0.507,0.339771,0.293982,0.249222,0.000000
0.508,0.339771,0.293982,0.249222,0.000000
0.509,0.339771,0.293982,0.249222,0.000000
0.510,0.339771,0.293982,0.249222,0.000000
0.511,0.339771,0.293982,0.249222,0.000000
0.512,0.339771,0.293982,0.249222,0.000000
0.513,0.339771,0.293982,0.249222,0.000000
0.514,0.339771,0.293982,0.249222,0.000000
0.515,0.339771,0.295938,0.249222,0.000000
0.516,0.339771,0.295938,0.249222,0.000000
0.517,0.339771,0.295938,0.249222,0.000000
0.518,0.338557,0.295938,0.249222,0.000000
0.519,0.338557,0.295938,0.249222,0.000000
0.520,0.338557,0.295938,0.249222,0.000000
0.521,0.338557,0.295938,0.249222,0.000000
0.522,0.338557,0.295938,0.249222,0.000000
0.523,0.338557,0.295938,0.249222,0.000000
0.524,0.338557,0.295938,0.249222,0.000000
0.525,0.338557,0.295938,0.249222,0.000000
0.526,0.338557,0.295938,0.249222,0.000000
0.527,0.338557,0.295938,0.249222,0.000000
0.528,0.338557,0.295938,0.249222,0.000000
0.529,0.338557,0.296339,0.249222,0.000000
0.530,0.338557,0.296339,0.249222,0.000000
0.531,0.338557,0.296339,0.249222,0.000000
0.532,0.338557,0.296339,0.249222,0.000000
0.533,0.338557,0.296339,0.249222,0.000000
0.534,0.338557,0.296339,0.249222,0.000000
0.535,0.338557,0.296339,0.249222,0.000000
0.536,0.340400,0.296339,0.249222,0.000000
0.537,0.340400,0.296339,0.249222,0.000000
0.538,0.340400,0.296339,0.249222,0.000000
0.539,0.340400,0.296339,0.249222,0.000000
0.540,0.340400,0.296339,0.249222,0.000000
0.541,0.340400,0.296339,0.249222,0.000000
0.542,0.340400,0.296339,0.249222,0.000000
0.543,0.340400,0.294848,0.249222,0.000000
0.544,0.340400,0.294848,0.249222,0.000000
0.545,0.340400,0.294848,0.249222,0.000000
0.546,0.340400,0.294848,0.249222,0.000000
0.547,0.340400,0.294848,0.249222,0.000000
0.548,0.340400,0.294848,0.249222,0.000000
0.549,0.340400,0.294848,0.249222,0.000000
0.550,0.340400,0.294848,0.249222,0.000000
0.551,0.340400,0.294848,0.249222,0.000000
0.552,0.340400,0.294848,0.249222,0.000000
0.553,0.340400,0.294848,0.249222,0.000000
0.554,0.340736,0.294848,0.249222,0.000000
0.555,0.340736,0.294848,0.249222,0.000000
0.556,0.340736,0.294848,0.249222,0.000000
0.557,0.340736,0.294848,0.249222,0.000000
0.558,0.340736,0.297312,0.249222,0.000000
0.559,0.340736,0.297312,0.249222,0.000000
0.560,0.340736,0.297312,0.249222,0.000000
0.561,0.340736,0.297312,0.249222,0.000000
0.562,0.340736,0.297312,0.249222,0.000000
0.563,0.340736,0.297312,0.249222,0.000000
0.564,0.340736,0.297312,0.249222,0.000000
0.565,0.340736,0.297312,0.249222,0.000000
0.566,0.340736,0.297312,0.249222,0.000000
0.567,0.340736,0.297312,0.249222,0.000000
0.568,0.340736,0.297312,0.249222,0.000000
0.569,0.340736,0.297312,0.249222,0.000000
0.570,0.340736,0.297312,0.249222,0.000000
0.571,0.340736,0.297312,0.249222,0.000000
0.572,0.338721,0.298438,0.249222,0.000000
0.573,0.338721,0.298438,0.249222,0.000000
0.574,0.338721,0.298438,0.249222,0.000000
0.575,0.338721,0.298438,0.249222,0.000000
0.576,0.338721,0.298438,0.249222,0.000000
0.577,0.338721,0.298438,0.249222,0.000000
