coordinate,x,y,overall-no-arctic,arctic
0.358,0.167743,0.143982,0.122183,0.000000
0.359,0.167743,0.143982,0.122183,0.000000
0.360,0.167743,0.143982,0.122183,0.000000
0.361,0.167743,0.143982,0.122183,0.000000
0.362,0.167743,0.143982,0.122183,0.000000
0.363,0.167743,0.143982,0.122183,0.000000
0.364,0.167743,0.143982,0.122183,0.000000
0.365,0.167743,0.143982,0.122183,0.000000
0.366,0.167743,0.143982,0.122183,0.000000
0.367,0.167743,0.143982,0.122183,0.000000
0.368,0.167743,0.143982,0.122183,0.000000
0.369,0.167743,0.143982,0.122183,0.000000
0.370,0.167743,0.143982,0.122183,0.000000
0.371,0.167743,0.143982,0.122183,0.000000
0.372,0.167743,0.143455,0.122183,0.000000
0.373,0.167743,0.143455,0.122183,0.000000
0.374,0.167743,0.143455,0.122183,0.000000
0.375,0.167257,0.143455,0.122183,0.000000
0.376,0.167257,0.143455,0.122183,0.000000
0.377,0.167257,0.143455,0.122183,0.000000
0.378,0.167257,0.143455,0.122183,0.000000
0.379,0.167257,0.143455,0.122183,0.000000
0.380,0.167257,0.143455,0.122183,0.000000
0.381,0.167257,0.143455,0.122183,0.000000
0.382,0.167257,0.143455,0.122183,0.000000
0.383,0.167257,0.143455,0.122183,0.000000
0.384,0.167257,0.143455,0.122183,0.000000
0.385,0.167257,0.143455,0.122183,0.000000
0.386,0.167257,0.142250,0.122183,0.000000
0.387,0.167257,0.142250,0.122183,0.000000
0.388,0.167257,0.142250,0.122183,0.000000
0.389,0.167257,0.142250,0.122183,0.000000
0.390,0.167257,0.142250,0.122183,0.000000
0.391,0.167257,0.142250,0.122183,0.000000
0.392,0.167257,0.142250,0.122183,0.000000
0.393,0.166986,0.142250,0.122183,0.000000
0.394,0.166986,0.142250,0.122183,0.000000
0.395,0.166986,0.142250,0.122183,0.000000
0.396,0.166986,0.142250,0.122183,0.000000
0.397,0.166986,0.142250,0.122183,0.000000
0.398,0.166986,0.142250,0.122183,0.000000
0.399,0.166986,0.142250,0.122183,0.000000
0.400,0.166986,0.142634,0.122183,0.000000
0.401,0.166986,0.142634,0.122183,0.000000
0.402,0.166986,0.142634,0.122183,0.000000
0.403,0.166986,0.142634,0.122183,0.000000
0.404,0.166986,0.142634,0.122183,0.000000
0.405,0.166986,0.142634,0.122183,0.000000
0.406,0.166986,0.142634,0.122183,0.000000
0.407,0.166986,0.142634,0.122183,0.000000
0.408,0.166986,0.142634,0.122183,0.000000
0.409,0.166986,0.142634,0.122183,0.000000
0.410,0.166986,0.142634,0.122183,0.000000
0.411,0.167593,0.142634,0.122183,0.000000
0.412,0.167593,0.142634,0.122183,0.000000
0.413,0.167593,0.142634,0.122183,0.000000
0.414,0.167593,0.142634,0.122183,0.000000
0.415,0.167593,0.142295,0.122183,0.000000
0.416,0.167593,0.142295,0.122183,0.000000
0.417,0.167593,0.142295,0.122183,0.000000
0.418,0.167593,0.142295,0.122183,0.000000
0.419,0.167593,0.142295,0.122183,0.000000
0.420,0.167593,0.142295,0.122183,0.000000
0.421,0.167593,0.142295,0.122183,0.000000
0.422,0.167593,0.142295,0.122183,0.000000
0.423,0.167593,0.142295,0.122183,0.000000
0.424,0.167593,0.142295,0.122183,0.000000
0.425,0.167593,0.142295,0.122183,0.000000
0.426,0.167593,0.142295,0.122183,0.000000
0.427,0.167593,0.142295,0.122183,0.000000
0.428,0.167593,0.142295,0.122183,0.000000
0.429,0.168100,0.142277,0.122183,0.000000
